GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,PLAYER_ID,FULL_NAME
Assisted Shot,Assisted,72,72,1.0,8,8,1.0,1.056,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1630173,Precious Achiuwa
Assisted Shot,Unassisted,27,27,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1630173,Precious Achiuwa
Assisted Shot,Assisted,210,210,1.0,33,33,1.0,1.079,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1628389,Bam Adebayo
Assisted Shot,Unassisted,120,120,1.0,7,7,1.0,1.029,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1628389,Bam Adebayo
Assisted Shot,Assisted,176,176,1.0,73,73,1.0,1.207,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1630534,Ochai Agbaji
Assisted Shot,Unassisted,28,28,1.0,2,2,1.0,1.036,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1630534,Ochai Agbaji
Assisted Shot,Assisted,29,29,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,203500,Steven Adams
Assisted Shot,Unassisted,26,26,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,1,1,1,1,1,2,1,1,1,2,1,203500,Steven Adams
Assisted Shot,Assisted,175,175,1.0,80,80,1.0,1.229,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1630583,Santi Aldama
Assisted Shot,Unassisted,54,54,1.0,3,3,1.0,1.028,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1630583,Santi Aldama
Assisted Shot,Assisted,6,6,1.0,2,2,1.0,1.167,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1641725,Trey Alexander
Assisted Shot,Unassisted,1,1,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,2,2,2,2,1,2,1,2,1,2,1,1641725,Trey Alexander
Assisted Shot,Assisted,142,142,1.0,95,95,1.0,1.335,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1629638,Nickeil Alexander-Walker
Assisted Shot,Unassisted,35,35,1.0,2,2,1.0,1.029,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1629638,Nickeil Alexander-Walker
Assisted Shot,Assisted,139,139,1.0,107,107,1.0,1.385,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1628960,Grayson Allen
Assisted Shot,Unassisted,13,13,1.0,2,2,1.0,1.077,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1628960,Grayson Allen
Assisted Shot,Assisted,245,245,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1628386,Jarrett Allen
Assisted Shot,Unassisted,54,54,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1628386,Jarrett Allen
Assisted Shot,Assisted,63,63,1.0,47,47,1.0,1.373,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1630631,Jose Alvarado
Assisted Shot,Unassisted,43,43,1.0,21,21,1.0,1.244,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1630631,Jose Alvarado
Assisted Shot,Assisted,50,50,1.0,18,18,1.0,1.18,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,203937,Kyle Anderson
Assisted Shot,Unassisted,32,32,1.0,1,1,1.0,1.016,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,203937,Kyle Anderson
Assisted Shot,Assisted,237,237,1.0,2,2,1.0,1.004,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,2,2,1,2,1,1,2,1,2,1,2,203507,Giannis Antetokounmpo
Assisted Shot,Unassisted,284,284,1.0,4,4,1.0,1.007,0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,1,1,1,1,1,2,1,2,1,2,1,203507,Giannis Antetokounmpo
Assisted Shot,Assisted,73,73,1.0,39,39,1.0,1.267,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1630175,Cole Anthony
Assisted Shot,Unassisted,102,102,1.0,14,14,1.0,1.069,0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1630175,Cole Anthony
Assisted Shot,Assisted,254,254,1.0,101,101,1.0,1.199,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1628384,OG Anunoby
Assisted Shot,Unassisted,48,48,1.0,2,2,1.0,1.021,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1628384,OG Anunoby
Assisted Shot,Assisted,140,140,1.0,66,66,1.0,1.236,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1630166,Deni Avdija
Assisted Shot,Unassisted,109,109,1.0,11,11,1.0,1.05,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1630166,Deni Avdija
