GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,PLAYER_ID,FULL_NAME
Shot Area,Restricted Area,76,115,0.661,0,0,0.0,0.661,10,0.697,0.303,0.0,0.0,0.697,0.303,1,1,1,4,4,4,1,7,1,1,4,1,1,1,1630173,Precious Achiuwa
Shot Area,In The Paint (Non-RA),11,36,0.306,0,0,0.0,0.306,3,0.636,0.364,0.0,0.0,0.636,0.364,2,2,2,4,4,4,2,6,2,2,4,1,2,2,1630173,Precious Achiuwa
Shot Area,Mid-Range,4,5,0.8,0,0,0.0,0.8,0,1.0,0.0,0.0,0.0,1.0,0.0,4,4,4,4,4,4,4,1,3,3,4,1,4,3,1630173,Precious Achiuwa
Shot Area,Left Corner 3,6,16,0.375,6,16,0.375,0.563,0,0.0,0.0,1.0,0.0,1.0,0.0,3,3,3,1,1,1,3,1,4,3,1,1,3,3,1630173,Precious Achiuwa
Shot Area,Right Corner 3,1,5,0.2,1,5,0.2,0.3,0,0.0,0.0,1.0,0.0,1.0,0.0,5,4,5,2,2,2,5,1,4,3,2,1,5,3,1630173,Precious Achiuwa
Shot Area,Above the Break 3,1,3,0.333,1,3,0.333,0.5,0,0.0,0.0,1.0,0.0,1.0,0.0,5,6,5,2,3,2,5,1,4,3,2,1,5,3,1630173,Precious Achiuwa
Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,3,4,1,7,3,1630173,Precious Achiuwa
Shot Area,Restricted Area,119,172,0.692,0,0,0.0,0.692,11,0.63,0.37,0.0,0.0,0.63,0.37,2,2,2,4,4,4,2,6,2,2,4,2,2,2,1628389,Bam Adebayo
Shot Area,In The Paint (Non-RA),122,286,0.427,0,0,0.0,0.427,18,0.631,0.369,0.0,0.0,0.631,0.369,1,1,1,4,4,4,1,7,1,1,4,2,1,1,1628389,Bam Adebayo
Shot Area,Mid-Range,49,108,0.454,0,0,0.0,0.454,2,0.51,0.49,0.0,0.0,0.51,0.49,3,3,3,4,4,4,3,5,3,3,4,2,3,3,1628389,Bam Adebayo
Shot Area,Left Corner 3,10,23,0.435,10,23,0.435,0.652,0,0.0,0.0,1.0,0.0,1.0,0.0,5,5,5,2,2,2,5,1,4,4,2,2,5,5,1628389,Bam Adebayo
Shot Area,Right Corner 3,3,12,0.25,3,12,0.25,0.375,0,0.0,0.0,1.0,0.0,1.0,0.0,6,6,6,3,3,3,6,1,4,4,3,2,6,5,1628389,Bam Adebayo
Shot Area,Above the Break 3,27,99,0.273,27,99,0.273,0.409,1,0.0,0.0,0.741,0.259,0.741,0.259,4,4,4,1,1,1,4,4,4,4,1,1,4,4,1628389,Bam Adebayo
Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,2,7,5,1628389,Bam Adebayo
